+===============================+===============================+=====================================================+
| Launch Setup Clock            | Launch Hold Clock             | Pin                                                 |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[6]/R   |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/y_coordinate_reg[0]/R   |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/y_coordinate_reg[0]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/y_coordinate_reg[5]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/y_coordinate_reg[3]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/y_coordinate_reg[3]/R   |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/y_coordinate_reg[5]/R   |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[4]/R   |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[7]/R   |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[11]/R  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[8]/R   |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[9]/R   |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[10]/CE |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[0]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[1]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[6]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[3]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[2]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[5]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[11]/CE |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[8]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[7]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[4]/CE  |
| clk_out1_hdmi_out_clk_wiz_0_0 | clk_out1_hdmi_out_clk_wiz_0_0 | hdmi_out_i/hdmi_code_0/inst/x_coordinate_reg[9]/CE  |
+-------------------------------+-------------------------------+-----------------------------------------------------+
